TDID,Run,TestCaseID,DefectID,APPLICATIONNAME,PAGETITLE,MENU,SUBMENU,EXTERNALAPPLICATIONMENU,EXTERNALAPPLICATIONSUBMENU,COSTCENTERNUMBER
36,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Portal Contents,Email Messages,
37,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Portal Contents,Exective Messages,
38,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Security,External System Passwords,
39,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Portal Contents,File Groups,
40,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Portal Menus,Menu Headers,
41,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Portal Menus,Menus,
42,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Security,Permission Subjects,
43,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Security,Permission Type Actions,
44,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Security,Permissions,
45,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Users,User Groups,
46,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Users,Users,
47,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Applications,Web Page/Subjects,
48,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Applications,Web Pages,
49,YES,,,NVI Corporate Portal,,Training,Assesments,Contents,Assessments,
50,YES,,,NVI Corporate Portal,,Training,Assesments,Contents,Assessment Folders,
51,YES,,,NVI Corporate Portal,,Training,Assesments,Contents,Assessment Groups,
52,YES,,,NVI Corporate Portal,,Training,Assesments,Group Schedule,Completed - 3 Days,
53,YES,,,NVI Corporate Portal,,Training,Assesments,Rules,Eligibility - Prod Active,
54,YES,,,NVI Corporate Portal,,Training,Assesments,Rules,Eligibility - Prod all,
55,YES,,,NVI Corporate Portal,,Training,Assesments,Rules,Eligibility - Prod Inactive,
56,YES,,,NVI Corporate Portal,,Training,Assesments,Rules,Email Rules,
57,YES,,,NVI Corporate Portal,,Training,Assesments,Assesments,Field Management,
58,YES,,,NVI Corporate Portal,,Training,Assesments,Rules,Test Result Rules,
59,YES,,,NVI Corporate Portal,,Store Info,Scheduler Appointments,System,Email Templates,
60,YES,,,NVI Corporate Portal,,Store Info,SIM,Employees,AD Search,
61,YES,,,NVI Corporate Portal,,Store Info,SIM,Store,Alignment by Month,
62,YES,,,NVI Corporate Portal,,Store Info,SIM,Org Units,Area Managers,
63,YES,,,NVI Corporate Portal,,Store Info,SIM,Employees,Corporate Directory,
64,YES,,,NVI Corporate Portal,,Store Info,SIM,Property,Corporate Offices,
65,YES,,,NVI Corporate Portal,,Store Info,SIM,Org Units,Districts,
66,YES,,,NVI Corporate Portal,,Store Info,SIM,Org Units,Regions,
67,YES,,,NVI Corporate Portal,,Store Info,SIM,Org Units,Divisions,
68,YES,,,NVI Corporate Portal,,Store Info,SIM,Org Units,Entities,
69,YES,,,NVI Corporate Portal,,Store Info,SIM,Org Units,DMA Description,
70,YES,,,NVI Corporate Portal,,Store Info,SIM,Org Units,Cost Centers,
71,YES,,,NVI Corporate Portal,,Store Info,SIM,Org Units,Cost Center Time Systems,
72,YES,,,NVI Corporate Portal,,Store Info,SIM,Org Units,Cost Center Support Tiers,
73,YES,,,NVI Corporate Portal,,Store Info,SIM,Property,Labs,
74,YES,,,NVI Corporate Portal,,Store Info,SIM,Report Card,Manager Eligiblity,
75,YES,,,NVI Corporate Portal,,Store Info,SIM,Property,Military Bases,
76,YES,Stalled ticktes,,NVI Corporate Portal,,Store Info,SIM,Military,Monthly Export to DAX,
77,YES,,,NVI Corporate Portal,,Store Info,SIM,Property,Outside Offices,
78,YES,,,NVI Corporate Portal,,Store Info,SIM,Report Card,Period Conversion,
79,YES,,,NVI Corporate Portal,,Store Info,SIM,Org Units,Cost Center Support Tiers by Period,
80,YES,,,NVI Corporate Portal,,Store Info,SIM,Store,Sales Cohort,
81,YES,,,NVI Corporate Portal,,Store Info,SIM,Store,SDS Price Bands,
82,YES,,,NVI Corporate Portal,,Store Info,SIM,DREX,SKU,
83,YES,,,NVI Corporate Portal,,Store Info,SIM,DREX,SKU Code By DREX,
84,YES,,,NVI Corporate Portal,,Store Info,SIM,Store,Store Tasks Report,
85,YES,,,NVI Corporate Portal,,Store Info,SIM,Org Units,Substitute Managers,
86,YES,,,NVI Corporate Portal,,Store Info,SIM,Employees,UltiPro New NVID,
87,YES,,,NVI Corporate Portal,,Store Info,SIM,Property,Vendors,
88,YES,,,NVI Corporate Portal,,Store Info,WIP (Work In Progress),Lab,Stalled Tickets,
